timestam,price,isspeciadday,traffic_condition,vehicle_type,occupancy,capacity,time,diff,source_file
2016-10-04T11:00:00.000000000,10.706560175074689,0,1.0,0.5,1424.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:00:00.000000000,10.810543102723935,0,1.5,0.5,1420.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T13:00:00.000000000,10.832965712153818,0,1.5,0.5,1461.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:30:00.000000000,10.81573272381864,0,1.0,1.0,1346.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T11:00:00.000000000,11.880610821573502,0,1.5,1.0,1411.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T11:30:00.000000000,10.671444556175391,0,1.0,0.5,1436.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T16:00:00.000000000,9.999041797410229,0,0.0,0.1,1175.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:00:00.000000000,11.213633213580597,0,1.0,1.0,1452.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T16:30:00.000000000,9.999182601894864,0,0.0,1.0,1089.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:30:00.000000000,10.81573272381864,0,1.0,1.0,1346.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T10:30:00.000000000,11.40794143837141,0,1.0,1.0,1339.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T07:30:00.000000000,10.120454949165246,0,0.0,0.5,735.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T09:30:00.000000000,10.31201738596418,0,0.0,1.0,1004.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T08:00:00.000000000,11.236004308980318,0,1.0,1.0,780.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:00:00.000000000,11.042770246097488,0,0.0,1.5,1245.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:30:00.000000000,10.911302659109827,0,1.0,1.0,1346.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:00:00.000000000,11.66098826501237,0,0.0,1.5,1245.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T08:30:00.000000000,10.24250127216006,0,0.0,1.0,817.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T10:00:00.000000000,11.613114716844317,0,1.0,1.0,1246.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T11:30:00.000000000,10.69683202828065,0,1.0,0.5,1470.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T15:30:00.000000000,10.17419846809499,0,0.0,0.5,1288.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:00:00.000000000,11.042770246097488,0,0.0,1.5,1245.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T14:30:00.000000000,10.911302659109827,0,1.0,1.0,1346.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T09:30:00.000000000,10.323728852073364,0,0.0,1.0,1142.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T09:00:00.000000000,10.641124318352526,0,0.0,1.0,949.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:30:00.000000000,10.766466020611372,0,1.0,0.5,1364.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T07:30:00.000000000,10.24052621973874,0,0.0,1.0,709.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T13:00:00.000000000,11.664903901457505,0,1.5,1.0,1459.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T08:30:00.000000000,10.49462198093757,0,0.0,1.0,864.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T12:00:00.000000000,11.763650633404849,0,1.5,1.0,1484.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:30:00.000000000,10.766466020611372,0,1.0,0.5,1364.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T12:30:00.000000000,12.083458488284167,0,1.0,1.5,1490.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T12:30:00.000000000,11.733371466183495,0,1.5,1.0,1472.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T09:30:00.000000000,11.459477753563972,0,1.0,1.0,1090.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-04T10:00:00.000000000,11.66098826501237,0,0.0,1.5,1245.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T12:00:00.000000000,10.659604640270173,0,1.0,0.5,1459.0,2009.0,1752411971560,1,garage_26.14747_91.72805_output.csv
2016-10-05T13:30:00.000000000,11.247489233713226,0,1.0,1.0,1453.0,2009.0,1752411971578,1,garage_26.14747_91.72805_output.csv
2016-10-05T13:30:00.000000000,11.689249025519375,0,1.5,1.0,1462.0,2009.0,1752411971578,1,garage_26.14747_91.72805_output.csv
2016-10-05T14:30:00.000000000,10.809268955497584,0,1.5,0.5,1414.0,2009.0,1752411971596,1,garage_26.14747_91.72805_output.csv
2016-10-05T14:30:00.000000000,10.587293763920744,0,1.0,0.5,1355.0,2009.0,1752411971606,1,garage_26.14747_91.72805_output.csv
2016-10-05T15:30:00.000000000,10.1714344685342,0,0.0,0.5,1263.0,2009.0,1752411971616,1,garage_26.14747_91.72805_output.csv
2016-10-06T07:30:00.000000000,10.241328539497587,0,0.0,1.0,760.0,2009.0,1752411971664,1,garage_26.14747_91.72805_output.csv
2016-10-05T16:30:00.000000000,9.93267858762519,0,0.0,1.5,1097.0,2009.0,1752411971664,1,garage_26.14747_91.72805_output.csv
2016-10-06T08:30:00.000000000,10.024343187462213,0,0.0,0.1,853.0,2009.0,1752411971664,1,garage_26.14747_91.72805_output.csv
2016-10-06T08:30:00.000000000,10.463132316657418,0,0.0,1.5,940.0,2009.0,1752411971664,1,garage_26.14747_91.72805_output.csv
2016-10-05T16:00:00.000000000,10.074842612475212,0,0.0,1.0,1198.0,2009.0,1752411971664,1,garage_26.14747_91.72805_output.csv
2016-10-06T11:30:00.000000000,11.21055706918451,0,1.0,1.0,1363.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T12:00:00.000000000,10.89428333266336,0,1.5,0.5,1405.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T10:30:00.000000000,11.421975679720148,0,1.0,1.0,1261.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T12:30:00.000000000,11.616330631214042,0,1.5,1.0,1385.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T09:30:00.000000000,10.126602407924102,0,0.0,0.5,1055.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T12:30:00.000000000,11.78972321801348,0,1.5,1.0,1436.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T10:00:00.000000000,11.006017519672186,0,0.0,1.5,1170.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
2016-10-06T10:30:00.000000000,12.018196574208003,0,1.5,1.0,1315.0,2009.0,1752411971774,1,garage_26.14747_91.72805_output.csv
