timestam,price,occupancy,capacity,time,diff
2016-10-09T16:30:00.000000000,10.105601141633963,328,2803,1752411971558,1
2016-10-04T11:00:00.000000000,10.469496967534784,588,2803,1752411971558,1
2016-10-04T14:00:00.000000000,10.399571887263646,560,2803,1752411971558,1
2016-10-06T15:00:00.000000000,10.249018908312523,509,2803,1752411971558,1
2016-10-05T14:30:00.000000000,10.390296111309311,547,2803,1752411971558,1
2016-10-11T10:30:00.000000000,10.391723153763824,549,2803,1752411971558,1
2016-10-12T10:00:00.000000000,10.36175526221905,507,2803,1752411971558,1
2016-10-09T16:00:00.000000000,10.07777381377096,364,2803,1752411971558,1
2016-10-04T13:00:00.000000000,10.42525865144488,596,2803,1752411971558,1
2016-10-10T14:30:00.000000000,10.285408490902606,485,2803,1752411971558,1
2016-10-09T13:30:00.000000000,10.397431323581875,497,2803,1752411971558,1
2016-10-13T09:30:00.000000000,10.714948269711025,452,2803,1752411971558,1
2016-10-06T13:30:00.000000000,10.414555833036031,581,2803,1752411971558,1
2016-10-04T14:30:00.000000000,10.209775240813414,529,2803,1752411971558,1
2016-10-10T14:00:00.000000000,10.34748483767392,502,2803,1752411971558,1
2016-10-06T14:30:00.000000000,10.386014983945772,541,2803,1752411971558,1
2016-10-07T10:30:00.000000000,10.340349625401355,477,2803,1752411971558,1
2016-10-09T15:30:00.000000000,10.192650731359258,415,2803,1752411971558,1
2016-10-09T09:30:00.000000000,10.21262932572244,158,2803,1752411971558,1
2016-10-10T14:30:00.000000000,10.16981805208705,458,2803,1752411971558,1
2016-10-11T10:30:00.000000000,10.367463432037104,515,2803,1752411971558,1
2016-10-05T11:00:00.000000000,10.49090260435248,603,2803,1752411971558,1
2016-10-05T11:30:00.000000000,10.387442026400285,593,2803,1752411971558,1
2016-10-04T16:00:00.000000000,10.150552978951122,461,2803,1752411971558,1
2016-10-11T13:30:00.000000000,10.39457723867285,558,2803,1752411971558,1
2016-10-07T14:30:00.000000000,10.24973242953978,470,2803,1752411971558,1
2016-10-12T09:00:00.000000000,10.785586871209418,461,2803,1752411971558,1
2016-10-04T14:00:00.000000000,10.41098822689975,576,2803,1752411971558,1
2016-10-06T07:30:00.000000000,10.124152693542634,174,2803,1752411971558,1
2016-10-09T09:30:00.000000000,10.289689618266143,176,2803,1752411971558,1
2016-10-10T11:30:00.000000000,10.326792722083482,458,2803,1752411971558,1
2016-10-08T08:30:00.000000000,10.078487334998217,110,2803,1752411971558,1
2016-10-07T13:00:00.000000000,10.41098822689975,511,2803,1752411971558,1
2016-10-12T14:00:00.000000000,10.376025686764182,582,2803,1752411971558,1
2016-10-04T16:30:00.000000000,10.093471280770602,406,2803,1752411971558,1
2016-10-08T14:00:00.000000000,10.506600071352125,570,2803,1752411971558,1
2016-10-10T12:30:00.000000000,10.350338922582948,491,2803,1752411971558,1
2016-10-11T08:30:00.000000000,10.676418123439172,358,2803,1752411971558,1
2016-10-11T09:30:00.000000000,10.309668212629326,434,2803,1752411971558,1
2016-10-12T12:00:00.000000000,10.492329646806992,595,2803,1752411971558,1
2016-10-12T13:00:00.000000000,10.420264002854084,594,2803,1752411971558,1
2016-10-04T14:30:00.000000000,10.209775240813414,529,2803,1752411971558,1
2016-10-09T11:30:00.000000000,10.452372458080628,354,2803,1752411971558,1
2016-10-12T09:00:00.000000000,10.601498394577238,418,2803,1752411971558,1
2016-10-10T10:30:00.000000000,10.471637531216556,416,2803,1752411971558,1
2016-10-07T15:00:00.000000000,10.181234391723152,434,2803,1752411971558,1
2016-10-05T10:30:00.000000000,10.557260078487335,586,2803,1752411971558,1
2016-10-08T12:00:00.000000000,10.448091330717087,428,2803,1752411971558,1
2016-10-08T15:30:00.000000000,10.410274705672494,575,2803,1752411971558,1
2016-10-05T07:30:00.000000000,10.175526221905102,246,2803,1752411971558,1
2016-10-12T15:30:00.000000000,10.358901177310024,548,2803,1752411971558,1
2016-10-12T16:30:00.000000000,10.344630752764894,483,2803,1752411971558,1
2016-10-09T10:30:00.000000000,10.164109882268995,230,2803,1752411971558,1
2016-10-05T16:30:00.000000000,10.082054941134498,390,2803,1752411971558,1
2016-10-09T09:00:00.000000000,10.174812700677846,130,2803,1752411971558,1
2016-10-04T09:30:00.000000000,10.299678915447734,420,2803,1752411971558,1
2016-10-09T14:00:00.000000000,10.281840884766323,480,2803,1752411971558,1
2016-10-06T11:30:00.000000000,10.405993578308957,569,2803,1752411971558,1
2016-10-06T08:30:00.000000000,10.17766678558687,249,2803,1752411971558,1
2016-10-08T07:30:00.000000000,10.06136282554406,86,2803,1752411971558,1
2016-10-09T12:30:00.000000000,10.31894398858366,447,2803,1752411971558,1
2016-10-10T10:30:00.000000000,10.557260078487335,436,2803,1752411971558,1
2016-10-09T15:00:00.000000000,10.209775240813414,444,2803,1752411971558,1
2016-10-05T13:30:00.000000000,10.41312879058152,579,2803,1752411971558,1
2016-10-06T12:00:00.000000000,10.504459507670354,592,2803,1752411971558,1
2016-10-04T08:00:00.000000000,10.3232251159472,238,2803,1752411971558,1
2016-10-12T12:30:00.000000000,10.424545130217624,595,2803,1752411971558,1
2016-10-09T08:30:00.000000000,10.09775240813414,107,2803,1752411971558,1
2016-10-04T10:00:00.000000000,10.549411344987512,525,2803,1752411971558,1
2016-10-12T14:30:00.000000000,10.36389582590082,570,2803,1752411971558,1
2016-10-04T14:30:00.000000000,10.266856938993936,529,2803,1752411971558,1
2016-10-06T13:30:00.000000000,10.422404566535857,592,2803,1752411971558,1
2016-10-12T10:30:00.000000000,10.50731359257938,541,2803,1752411971558,1
2016-10-10T09:00:00.000000000,10.44166963967178,269,2803,1752411971558,1
2016-10-10T13:00:00.000000000,10.405993578308957,504,2803,1752411971558,1
2016-10-06T10:30:00.000000000,10.547270781305745,512,2803,1752411971558,1
2016-10-13T07:30:00.000000000,10.140563681769532,197,2803,1752411971558,1
2016-10-11T14:30:00.000000000,10.351052443810202,537,2803,1752411971558,1
2016-10-04T10:00:00.000000000,10.749197288619335,525,2803,1752411971558,1
2016-10-05T13:30:00.000000000,10.415982875490544,583,2803,1752411971558,1
2016-10-08T10:00:00.000000000,10.400285408490904,256,2803,1752411971558,1
2016-10-11T11:30:00.000000000,10.389582590082057,546,2803,1752411971558,1
2016-10-06T08:30:00.000000000,10.23118087763111,324,2803,1752411971558,1
2016-10-07T13:30:00.000000000,10.34748483767392,507,2803,1752411971558,1
2016-10-12T08:00:00.000000000,10.195504816268285,274,2803,1752411971558,1
2016-10-09T14:30:00.000000000,10.316803424901892,474,2803,1752411971558,1
2016-10-10T16:30:00.000000000,10.271851587584733,381,2803,1752411971558,1
2016-10-08T12:30:00.000000000,10.42953977880842,457,2803,1752411971558,1
2016-10-12T15:00:00.000000000,10.351052443810204,557,2803,1752411971558,1
2016-10-12T11:00:00.000000000,10.44166963967178,554,2803,1752411971558,1
2016-10-11T09:30:00.000000000,10.3396361041741,476,2803,1752411971558,1
2016-10-05T08:30:00.000000000,10.232607920085622,326,2803,1752411971558,1
2016-10-05T10:00:00.000000000,10.636460934712808,547,2803,1752411971558,1
2016-10-09T13:00:00.000000000,10.481626828398143,485,2803,1752411971558,1
2016-10-10T11:30:00.000000000,10.336068498037816,471,2803,1752411971558,1
2016-10-11T12:00:00.000000000,10.419550481626828,553,2803,1752411971558,1
2016-10-10T13:30:00.000000000,10.36389582590082,505,2803,1752411971558,1
